PERMIT NUMBER,OWNER NAME,OPERATING NAME,BUSINESS NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude,Accuracy Score,Accuracy Type
AL-W-15007,"THE WINERY AT PEPPER PLACE, LP JAHN M. COPPYA, CHARLES T. VIZZINA, GAYLE TEAL DICK, GP'S",,"THE WINERY AT PEPPER PLACE, LP JAHN M. COPPYA, CHARLES T. VIZZINA, GAYLE TEAL DICK, GP'S",2801 2ND AVE SUITE B,BIRMINGHAM,AL,35233,JEFFERSON,33.515935,-86.791902,0.9,rooftop
AL-W-15008,"WAKEFIELD ENTERPRISES, INC.",HODGES VINEYARDS,HODGES VINEYARDS,230 LEE RD 71,CAMP HILL,AL,36850,TALLAPOOSA,32.68731,-85.669076,0.4,street_center
AL-W-15009,"HIDDEN MEADOW VINEYARD, L.L.C.",,HIDDEN MEADOW VINEYARD,664 COUNTY ROAD 606,JEMISON,AL,35085,CHILTON,32.970056,-86.734146,0.33,place
AL-W-15010,LEE INVESTMENT CONSULTANTS LLC,MARAELLA VINEYARDS & WINERY,MARAELLA VINEYARDS & WINERY,5296 OLD US HWY 278,HOKES BLUFF,AL,35903,ETOWAH,33.987257,-85.873171,1,range_interpolation
AL-W-15011,FRUITHURST WINERY LLC,THE FRUITHURST WINERY CO.,THE FRUITHURST WINERY CO.,27091 COUNTY ROAD 49,FRUITHURST,AL,36262,CLEBURNE,33.779335,-85.463112,0.33,place
AL-W-15012,"FOLKLORE BREWING & MEADERY, LLC",FOLKLORE BREWING & MEADERY,FOLKLORE BREWING & MEADERY,153 MARY LOU LN STE 1,DOTHAN,AL,36301,HOUSTON,31.148775,-85.395202,1,range_interpolation
AL-W-20316,FORTITUDINE VINEYARD LLC,,FORTITUDINE VINEYARD,280 VINYARD LN,EUTAW,AL,35462,GREEN,32.836298,-87.893016,0.33,place
AL-W-20426,"SOUTHEAST WINE, LLC",OZAN VINEYARD AND CELLARS,OZAN VINEYARD AND CELLARS,173 HIGHWAY 301,CALERA,AL,35040,SHELBY,33.102283,-86.716191,1,rooftop
AL-W-21001,"LEWIS LAKES VINEYARDS, LLC",LEWIS LAKES VINEYARDS,LEWIS LAKES VINEYARDS,1075 CHELSEA RD,COLUMBIANA,AL,35051,SHELBY,33.157443,-86.599468,1,rooftop
AL-W-21002,THE FAIR HOPE BREWING COMPANY LLC,THE FAIR HOPE BREWING COMPANY,THE FAIR HOPE BREWING COMPANY,914 NICHOLS AVE,FAIRHOPE,AL,36532,BALDWIN,30.51605,-87.884943,1,rooftop
AL-W-21004,"CHATEAU MONTEVALLO, LLC",,CHATEAU MONTEVALLO,1280 HIGHWAY 89,MONTEVALLO,AL,35115,SHELBY,33.07906,-86.816877,1,rooftop
AL-W-21005,"BRYANT VINEYARD,LLC",BRYANT VINEYARD,BRYANT VINEYARD,1454 GRIFFITT BEND ROAD,TALLADEGA,AL,35160,TALLADEGA,33.472112,-86.268115,1,range_interpolation
AL-W-21006,"SINGIN' RIVER BREWING COMPANY, LLC",,SINGIN' RIVER BREWING COMPANY,526 E COLLEGE ST,FLORENCE,AL,35630,LAUDERDALE,34.801517,-87.669788,1,range_interpolation
AL-W-21007,JOHN W. MCCOMBS JR.,HOME BOY BREWING COMPANY & WINERY,HOME BOY BREWING COMPANY & WINERY,17714 W US HIGHWAY 98 UNIT C,FOLEY,AL,36535,BALDWIN,30.406233,-87.721942,1,rooftop
AL-W-21008,"RED CLAY BREWING COMPANY, LLC",,RED CLAY BREWING COMPANY,704 N RAILROAD AVE,OPELIKA,AL,36801,LEE,32.649522,-85.378682,1,range_interpolation
AL-W-21009,LOG CABIN VINEYARDS LLC,,LOG CABIN VINEYARDS,12774 HIGHWAY 219,SELMA,AL,36701,PERRY,32.464403,-87.092021,1,range_interpolation
AL-W-21010,"SALTY NUT BREWERY, LLC",SALTY NUT WINERY,SALTY NUT WINERY,2406 CLINTON AVE W,HUNTSVILLE,AL,35805,MADISON,34.722574,-86.603717,0.9,rooftop
AL-W-21012,"BLACK WARRIOR BREWING COMPANY, LLC",,BLACK WARRIOR BREWING COMPANY,2216 UNIVERSITY BLVD,TUSCALOOSA,AL,35401,TUSCALOOSA,33.21067,-87.566245,1,rooftop
AL-W-21013,"STRAIGHT TO ALE BRANDS, INC.",STRAIGHT TO ALE BRANDS,STRAIGHT TO ALE BRANDS,"2610 CLINTON AVE, NW",HUNTSVILLE,AL,35805,MADISON,34.720957,-86.607123,1,rooftop
AL-W-21014,"CAT-N-BIRD WINERY, LLC",CAT-N-BIRD WINERY,CAT-N-BIRD WINERY,11661 OLD HIGHWAY 280,CHELSEA,AL,35043,SHELBY,33.350924,-86.655279,1,rooftop
AL-W-21015,PIPPIN FAMILY VINEYARD AND WINERY LLC,SOUTH RIDGE WINE,SOUTH RIDGE WINE,3297 LIVE OAK RD,LUVERNE,AL,36049,ALABAMA,31.814611,-86.266538,0.9,range_interpolation
AL-W-21016,"GREEN BUS BREWING, L.L.C.",,GREEN BUS BREWING,206 EUSTIS AVE SE,HUNTSVILLE,AL,35801,MADISON,34.730143,-86.583871,1,rooftop
AL-W-21017,"CAHABA BREWING COMPANY, LLC",,CAHABA BREWING COMPANY,4500 5TH AVE S BLDG C,BIRMINGHAM,AL,35222,JEFFERSON,33.526739,-86.764892,1,rooftop
AL-W-21018,"TAYLOE BEND DISTILLING COMPANY, LLC",TAYLOE BEND,TAYLOE BEND,4425 3RD AVE S,BIRMINGHAM,AL,35222,JEFFERSON,33.527257,-86.765885,0.9,rooftop
AL-W-21019,"HIGH COUNTRY CELLARS, LLC",,HIGH COUNTRY CELLARS,849 ALMON ST,HEFLIN,AL,36264,CLEBURNE,33.639656,-85.590253,1,range_interpolation
AL-W-21020,A CORBIN COMPANY LLC,CORBIN FARMS WINERY,CORBIN FARMS WINERY,800 HIGHWAY 87,CALERA,AL,35040,SHELBY,33.175727,-86.775219,1,rooftop
AL-W-21021,"GOAT ISLAND CRAFT BREWING, LLC",,GOAT ISLAND CRAFT BREWING,1646 A JOHN H COOPER DR SE,CULLMAN,AL,35055,CULLMAN,34.140836,-86.820657,1,rooftop
AL-W-21022,LAKE POINT VINEYARD AND WINERY LLC,,LAKE POINT VINEYARD AND WINERY,674 LAKE POINT DR,MATHEWS,AL,36052,MONTGOMERY,32.215391,-86.063204,0.4,street_center
AL-W-21023,"AVONDALE BREWING COMPANY, LLC",,AVONDALE BREWING COMPANY,201 41ST ST S,BIRMINGHAM,AL,35233,JEFFERSON,33.524569,-86.774066,0.9,rooftop
AL-W-21024,TALLULAH BREWING COMPANY LLC,,TALLULAH BREWING COMPANY,1804 S 4TH AVE,JASPER,AL,35501,WALKER,33.86615,-87.269589,0.7,range_interpolation
AL-W-21026,"SERDA BREWING COMPANY, INC.",,SERDA BREWING COMPANY,600 GOVERNMENT ST,MOBILE,AL,36602,MOBILE,30.687951,-88.049247,1,rooftop
AL-W-21027,INNERSPACE BREWING COMPANY,,INNERSPACE BREWING COMPANY,2414 CLINTON AVE W,HUNTSVILLE,AL,35805,MADISON,34.722627,-86.60414,0.9,rooftop
AL-W-21028,JUNAVELLI WINERY LLC,,JUNAVELLI WINERY,357 GUMTREE LANE LN,BREWTON,AL,36426,ESCAMBIA,31.170138,-87.051038,1,range_interpolation
AL-W-21029,TWISTED BARLEY LLC,TWISTED BARLEY BREWING CO,TWISTED BARLEY BREWING CO,19 STREET W BLDG 520,JASPER,AL,35501,USA,33.796234,-87.316923,0.33,place
AL-W-21030,"SILURIA BREWING COMPANY, LLC",,SILURIA BREWING COMPANY,145 1ST AVE W,ALABASTER,AL,35007,SHELBY,33.243797,-86.818619,1,rooftop
AL-W-21031,"ROBYN'S GARDEN, INC.",,ROBYN'S GARDEN,200 OAKWOOD AVE NE STE A & B,HUNTSVILLE,AL,35811,MADISON,34.74847,-86.580511,1,rooftop
AL-W-21032,"GHOST TRAIN BREWING COMPANY, INC.",,GHOST TRAIN BREWING COMPANY,2616 3RD AVE S BLDG C,BIRMINGHAM,AL,35233,JEFFERSON,33.514559,-86.79375,1,rooftop
AL-W-21033,"RISERS MILL FARM, LLC",NOVI VINEYARDS & WINERY,NOVI VINEYARDS & WINERY,6361 RISERS MILL RD,ALPINE,AL,35014,TALLADEGA,33.29483,-86.243083,1,range_interpolation
AR-W-15000,KURT NEUMEIER,NEUMEIER WINERY,NEUMEIER WINERY,3406 SWISS FAMILY DR,ALTUS,AR,72821,FRANKLIN,35.459068,-93.75149,1,range_interpolation
AR-W-15001,"THE WINERY OF HOT SPRINGS, INC.",THE WINERY OF HOT SPRINGS,THE WINERY OF HOT SPRINGS,1503 CENTRAL AVE,HOT SPRINGS,AR,71901,GARLAND,34.498623,-93.055933,1,rooftop
AR-W-15002,"E & D ENDEAVORS, INC.",KEELS CREEK WINERY,KEELS CREEK WINERY,3185 E VAN BUREN,EUREKA SPRINGS,AR,72632,CARROLL,36.389896,-93.713221,1,rooftop
AR-W-15006,DONLEY GERALD HELMS,DEPARTEE CREEK WINERY,DEPARTEE CREEK WINERY,2610 JACKSON 1,BRADFORD,AR,72020,WHITE,35.457201,-91.458638,1,rooftop
AR-W-15009,TONTITOWN WINERY LLC,,TONTITOWN WINERY,335 N BARRINGTON RD,SPRINGDALE,AR,72762,WASHINGTON,36.179863,-94.234888,1,range_interpolation
AR-W-15012,"POINT REMOVE WINERY, LLC.",THE POINT WINERY,THE POINT WINERY,36 HUNT CLUB LN,HATTIEVILLE,AR,72063,CONWAY,35.272285,-92.765575,1,range_interpolation
AR-W-15013,"SCHNEIDER ENDEAVORS, INC.",RAILWAY WINERY,RAILWAY WINERY,4937 HIGHWAY 187,EUREKA SPRINGS,AR,72631,CARROLL,36.477991,-93.801122,1,rooftop
AR-W-15015,"APPLE BLOSSOM BREWING COMPANY, INC.",APPLE BLOSSOM BREWING COMPANY,APPLE BLOSSOM BREWING COMPANY,1550 E ZION RD SUITE 1,FAYETTEVILLE,AR,72703,WASHINGTON,36.129696,-94.137383,1,rooftop
AR-W-20331,"MOVIE HOUSE WINERY, LLC",MOVIE HOUSE WINERY,MOVIE HOUSE WINERY,99 SANDTOWN RD,MORRILTON,AR,72110,CONWAY,35.129053,-92.721702,1,range_interpolation
AR-W-21002,"AN ENCHANTING EVENING, LLC",AN ENCHANTING EVENING,AN ENCHANTING EVENING,29300 HIGHWAY 300,ROLAND,AR,72135,PULASKI,34.922902,-92.563613,1,rooftop
AR-W-21003,RUSTY TRACTOR VINEYARDS LLC,RUSTY TRACTOR VINEYARDS,RUSTY TRACTOR VINEYARDS,1 SUNSET LAKE DR,LITTLE ROCK,AR,72210,PULASKI,34.694351,-92.417207,1,rooftop
AR-W-21004,"BARRELS UNLIMITED, INC",,"BARRELS UNLIMITED, INC",327 OUACHITA AVE,HOT SPRINGS,AR,71901,GARLAND,34.506495,-93.056864,1,rooftop
AR-W-21005,BLUE TURTLE WINERY LLC,,BLUE TURTLE WINERY,19966 BUG SCUFFLE RD,WEST FORK,AR,72774,US,35.81618,-94.332039,1,range_interpolation
AR-W-21006,JOHN D. COOPER,HUZZAH RIDGE WINERY,HUZZAH RIDGE WINERY,1800 TRIPLE LN,HARRISON,AR,72601,BOONE,36.183867,-93.02154,1,rooftop
AR-W-21007,BOBROOK FARMS LLC,,BOBROOK FARMS,13810 COMBEE LN,ROLAND,AR,72135,PULASKI,34.889162,-92.501886,1,rooftop
AR-W-21008,DIONYSUS WINE & BREW LLC,,DIONYSUS WINE & BREW,9017 HIGHWAY 186,ALTUS,AR,72821,FRANKLIN,35.494113,-93.74188,0.8,nearest_rooftop_match
AR-W-21009,"SASSAFRAS SPRINGS VINEYARD, LLC",,SASSAFRAS SPRINGS VINEYARD,6461 E GUY TERRY RD,SPRINGDALE,AR,72764,WASHINGTON,36.127378,-94.065207,1,rooftop
AR-W-21010,HUZZAH RIDGE LLC,,HUZZAH RIDGE,504 OLD BELLEFONTE RD,HARRISON,AR,72601,BOONE,36.224823,-93.085983,1,rooftop
AR-W-21011,"RAIMONDO WINERY, LLC",,RAIMONDO WINERY,3021 E BROADWAY ST,NORTH LITTLE ROCK,AR,72114,,34.755608,-92.232615,1,rooftop
AR-W-21012,"SPA CITY WINE GIRLS, INC.",SPA CITY TROPICAL WINERY & GIFTS,SPA CITY TROPICAL WINERY & GIFTS,258 CENTRAL AVE,HOT SPRINGS,AR,71901,GARLAND,34.515905,-93.05371,1,rooftop
AR-W-21013,ARKANSAS MEADERY LLC,ARKANSAS MEADERY,ARKANSAS MEADERY,2625 NW AVILLA VINCINTAGE RD,ALEXANDER,AR,72002,SALINE,34.673622,-92.559892,1,rooftop
AR-W-21014,MICHAEL JAMES POST,MOUNT BETHEL WINERY,MOUNT BETHEL WINERY,5014 MOUNT BETHEL DR,ALTUS,AR,72821,FRANKLIN,35.448888,-93.755654,0.8,nearest_rooftop_match
AR-W-21015,JKC CELLARS LLC,,JKC CELLARS,7709 ELLIS ST,FORT SMITH,AR,72916,SEBASTIAN,35.307698,-94.303049,0.8,rooftop
AR-W-21016,"SHADOW ELM MEADERY, LLC",SHADOW ELM MEADERY,SHADOW ELM MEADERY,18674 EAGLES BEND RD,SPRINGDALE,AR,72764,WASHINGTON,36.22563,-94.013395,1,rooftop
AR-W-21017,BLENDED BARREL LLC,BLENDED BARREL,BLENDED BARREL,2901 E ZION RD UNIT 12,FAYETTEVILLE,AR,72703,,36.128983,-94.120292,1,rooftop
AR-W-26,"COWIE WINE CELLARS, INC.",COWIE WINE CELLARS,COWIE WINE CELLARS,101 N CARBON CITY RD,PARIS,AR,72855,LOGAN,35.298825,-93.792358,1,rooftop
AR-W-31,"CHATEAU AUX ARC, LLC",DBA CHATEAU AUX ARC,DBA CHATEAU AUX ARC,8045 HIGHWAY 186,ALTUS,AR,72821,FRANKLIN,35.478632,-93.742557,1,rooftop
AR-W-32,"POST WINERY, INC.",POST WINERY,POST WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,FRANKLIN,35.446264,-93.7613,0.9,range_interpolation
AR-W-34,"WIEDERKEHR WINE CELLARS, INC.",WIEDERKEHR WINE CELLARS,WIEDERKEHR WINE CELLARS,3324 SWISS FAMILY DR,WIEDERKEHR VILLAGE,AR,72821,FRANKLIN,35.459122,-93.751115,1,rooftop
AR-W-35,PAUL J. POST,SAX WINERY,SAX WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,FRANKLIN,35.446264,-93.7613,0.9,range_interpolation
AR-WS-21001,STORM BREWERY LLC,BLACK APPLE CROSSING,BLACK APPLE CROSSING,321 E EMMA AVE,SPRINGDALE,AR,72764,WASHINGTON,36.184834,-94.127384,1,rooftop
AR-WS-21002,C NOTE INC.,SQZBX,SQZBX,238 OUACHITA AVE,HOT SPRINGS NATIONAL PARK,AR,71901,GARLAND,34.50722,-93.056363,1,rooftop
AZ-W-15000,"PAGE SPRINGS CELLARS, INC.",PAGE SPRINGS CELLARS,PAGE SPRINGS CELLARS,1500 N PAGE SPRINGS RD,CORNVILLE,AZ,86325,YAVAPAI,34.757912,-111.895061,1,rooftop
AZ-W-15001,CHRISTOPHER CARY HAMILTON,RANCHO ROSSA VINEYARDS,RANCHO ROSSA VINEYARDS,201 CATTLE RANCH LN.,ELGIN,AZ,85611,SANTA CRUZ,31.663102,-110.577773,1,rooftop
AZ-W-15003,"PARADISE PRODUCE, LLC",FREITAS VINEYARD,FREITAS VINEYARD,1575 PARADISE DR,COTTONWOOD,AZ,86326,YAVAPAI,34.71373,-112.022752,1,range_interpolation
AZ-W-15004,KEELING SCHAEFER VINEYARDS LLC,,KEELING SCHAEFER VINEYARDS,10277 E ROCK CREEK LN,PEARCE,AZ,85625,COCHISE,31.865135,-109.827371,0.6,street_center
AZ-W-15007,BOSTOCK WINERY INC,BOSTOCK WINERY,BOSTOCK WINERY,3248 HIGHWAY 82,SONOITA,AZ,85637,SANTA CRUZ,31.679673,-110.654347,1,range_interpolation
AZ-W-15008,"ALCANTARA, L.L.C.",ALCANTARA VINEYARDS & WINERY,ALCANTARA VINEYARDS & WINERY,3445 S GRAPEVINE WAY,COTTONWOOD,AZ,86326,YAVAPAI,34.677011,-111.946032,1,rooftop
AZ-W-15010,"SYCAMORE CANYON WINERY, LLC",SYCAMORE CANYON WINERY,SYCAMORE CANYON WINERY,2620 DANCING APACHE RD,CORNVILLE,AZ,86325,YAVAPAI,34.765206,-111.888933,1,range_interpolation
AZ-W-15011,"CORONADO VINEYARDS, INC.",CORONADO VINEYARDS,CORONADO VINEYARDS,2909 E COUNTRY CLUB DR,WILLCOX,AZ,85643,COCHISE,32.304172,-109.788656,0.6,street_center
AZ-W-15012,"SU VINO WINERY SCOTTSDALE, INC.",SU VINO WINERY,SU VINO WINERY,16099 N 82ND ST STE B9,SCOTTSDALE,AZ,85260,MARICOPA,33.632542,-111.902499,1,rooftop
AZ-W-15013,"MANNING AND MANNING, INC.",KIEF-JOSHUA VINEYARD,KIEF-JOSHUA VINEYARD,370 ELGIN RD,ELGIN,AZ,85611,SANTA CRUZ,31.659185,-110.542611,1,rooftop
AZ-W-15016,"LIGHTNING RIDGE CELLARS, LLC",,LIGHTNING RIDGE CELLARS,2368 HIGHWAY 83,ELGIN,AZ,85611,SANTA CRUZ,31.609306,-110.589018,1,rooftop
AZ-W-15017,CLEAR CREEK VINEYARD AND WINERY LLC,,CLEAR CREEK VINEYARD AND WINERY,4053 E HIGHWAY 260,CAMP VERDE,AZ,86322,YAVAPAI,34.528756,-111.783216,1,rooftop
AZ-W-15018,ZEMPER RESERVE LLC,STUDIO VINO,STUDIO VINO,1825 E GUADALUPE RD STE 105,TEMPE,AZ,85283,MARICOPA,33.363609,-111.910235,1,range_interpolation
AZ-W-15019,"WILHELM FAMILY VINEYARDS, LLC",WILHELM FAMILY VINEYARDS,WILHELM FAMILY VINEYARDS,21 MOUNTAIN RANCH DR,ELGIN,AZ,85611,SANTA CRUZ,31.675876,-110.574351,1,rooftop
AZ-W-15021,"ARIZONA STRONGHOLD VINEYARDS, LLC",,ARIZONA STRONGHOLD VINEYARDS,4700 OLD HIGHWAY 279,CAMP VERDE,AZ,86322,YAVAPAI,34.63518,-111.934154,1,rooftop
AZ-W-15022,"PILLSBURY WINE COMPANY, LLC",PILLSBURY WINE COMPANY,PILLSBURY WINE COMPANY,6450 S BENNETT PL,WILLCOX,AZ,85643,COCHISE,32.127693,-109.709865,1,range_interpolation
AZ-W-15023,ODYSSEY CELLARS INC.,TANTRUM WINES,TANTRUM WINES,8401 BELL RANCH RD,WILLCOX,AZ,85643,COCHISE,32.054553,-109.67851,1,range_interpolation
AZ-W-15024,"ARRIBA, LLC.",TOUGH COUNTRY WINERY,TOUGH COUNTRY WINERY,6642 S 38TH ST,PHOENIX,AZ,85042,MARICOPA,33.385628,-112.001413,1,rooftop
AZ-W-15031,"LAWRENCE DUNHAM VINEYARDS, LLC",LAWRENCE DUNHAM VINEYARDS,LAWRENCE DUNHAM VINEYARDS,13922 S KUYKENDALL CUTOFF RD,PEARCE,AZ,85625,COCHISE,31.859334,-109.491213,1,range_interpolation
AZ-W-15032,"GERALD, INC.",ROSE PEAK VINEYARDS,ROSE PEAK VINEYARDS,17251 W ASH CREEK RD,WILLCOX,AZ,85643,COCHISE,32.407245,-109.96549,0.33,place
AZ-W-15033,"CALLAGHAN VINEYARDS, L.L.C.",CALLAGHAN VINEYARDS,CALLAGHAN VINEYARDS,336 ELGIN RD,ELGIN,AZ,85611,SANTA CRUZ,31.659511,-110.550291,1,rooftop
AZ-W-15035,FRANK A. CUDA,REUNION CAMP JUNIPERWOOD RANCH WINERY,REUNION CAMP JUNIPERWOOD RANCH WINERY,7775 W STOCKMAN RD,ASH FORK,AZ,86320,YAVAPAI,35.185029,-112.616724,1,rooftop
AZ-W-15036,BARBARA CARR AND ROCKY CARR,SONORAN DESERT WINERY,SONORAN DESERT WINERY,9385 S WILTBANK RD,TUCSON,AZ,85736,PIMA,32.079875,-111.254805,1,rooftop
AZ-W-15037,"CARLSON CREEK VINEYARD, LLC",CARLSON CREEK VINEYARD,CARLSON CREEK VINEYARD,4574 E ROBBS RD,WILLCOX,AZ,85643,COCHISE,32.123026,-109.716717,0.9,range_interpolation
AZ-W-15038,"CADUCEUS CELLARS, LLC",CADUCEUS CELLARS,CADUCEUS CELLARS,103 DUNDEE AVE,JEROME,AZ,86331,YAVAPAI,34.751333,-112.103573,1,rooftop
AZ-W-15039,HAMMELMAN WINES LLC,HAMMELMAN WINES,HAMMELMAN WINES,130 S HASKELL AVE,WILLCOX,AZ,85643,COCHISE,32.252216,-109.833087,1,rooftop
AZ-W-15041,"HANNAH'S HILL ENTERPRISES, LLC",HANNAH'S HILL VINEYARD,HANNAH'S HILL VINEYARD,3989 HIGHWAY 82,ELGIN,AZ,85611,SANTA CRUZ,31.718044,-110.53426,1,rooftop
AZ-W-15042,"CRAIG VINEYARDS, LLC",CHARRON VINEYARDS & WINERY,CHARRON VINEYARDS & WINERY,18585 S SONOITA HWY,VAIL,AZ,85641,PIMA,31.917848,-110.645855,1,rooftop
AZ-W-15043,RANCHOMARIA VINEYARDS LLC,RANCHOMARIA VINEYARDS,RANCHOMARIA VINEYARDS,13490 S BELL RD,BENSON,AZ,85602,COCHISE,32.010358,-110.506449,1,rooftop
AZ-W-15044,EARLE'S CUSTOM WINES INC.,YUMA'S MAIN SQUEEZE,YUMA'S MAIN SQUEEZE,251 S MAIN ST,YUMA,AZ,85364,YUMA,32.723332,-114.61749,1,rooftop
AZ-W-15045,"SUSTAINABLE PACKAGING SOLUTIONS, LLC",KIND VINES,KIND VINES,2225 N GEMINI DR W6,FLAGSTAFF,AZ,86001,COCONINO,35.214193,-111.632996,1,rooftop
AZ-W-15046,MARIE PETROFF,PLEASANT VALLEY WINERY,PLEASANT VALLEY WINERY,3023 WALNUT CREEK RD,YOUNG,AZ,85554,GILA,34.121245,-111.014216,0.9,rooftop
AZ-W-15049,"SUPERSTITION MEADERY, LLC",SUPERSTITION MEADERY,SUPERSTITION MEADERY,6678 INTER CAL WAY,PRESCOTT,AZ,86301,YAVAPAI,34.653362,-112.411574,1,rooftop
AZ-W-15050,SILVER STRIKE WINERY LLC,SILVER STRIKE WINERY,SILVER STRIKE WINERY,334 E ALLEN ST,TOMBSTONE,AZ,85638,COCHISE,31.712976,-110.067348,1,rooftop
AZ-W-15053,"HOFMANN ESTATE VINEYARDS AND WINERY, LLC",HOFMANN VINEYARDS,HOFMANN VINEYARDS,9399 N HIGH LONESOME RD,MC NEAL,AZ,85617,COCHISE,31.454062,-109.823494,0.6,street_center
AZ-W-15054,DEL RIO SPRINGS VINEYARD LLP,DEL RIO SPRINGS VINEYARD,DEL RIO SPRINGS VINEYARD,974 N GRANDVIEW,PAULDEN,AZ,86334,YAVAPAI,34.862211,-112.483638,1,rooftop
AZ-W-15057,"MERKIN ENTERPRISES, INC.",MERKIN VINEYARDS,MERKIN VINEYARDS,4626 OLD HWY 279,CAMP VERDE,AZ,86322,YAVAPAI,34.633776,-111.931251,1,rooftop
AZ-W-15060,"FOUR EIGHT WINEWORKS, INC",FOUR EIGHT WINEWORKS,FOUR EIGHT WINEWORKS,4626 OLD HWY 279,CAMP VERDE,AZ,86322,YAVAPAI,34.633776,-111.931251,1,rooftop
AZ-W-15062,"SEDONA ORCHARDS, LLC",,SEDONA ORCHARDS,145 COPPER CLIFFS LN,SEDONA,AZ,86336,YAVAPAI,34.854428,-111.765651,1,rooftop
AZ-W-15063,"PLEASANT VALLEY FARMS, LLC",BRUZZI VINEYARD,BRUZZI VINEYARD,47209 N HWY 288,YOUNG,AZ,85554,GILA,34.100017,-110.959647,1,rooftop
AZ-W-15064,"INIQUUS CELLARS, LLC",,INIQUUS CELLARS,4626 OLD HWY 279,CAMP VERDE,AZ,86322,YAVAPAI,34.633776,-111.931251,1,rooftop
